Score,Evaluation
3.3,连续出差好几个月了 终于休息下来了 每天晚上回来想泡个热水澡 可是水温真的也是醉了。23:30给前台和客房部打电话说水温不行 客房部说让工作人员来看。就一直等一直等。等到快12点了。然后再给前台打电话 被告知 无法解决，说换房间要等她们差 大概需要20分钟…20分钟、晚上让等20分钟。总共等了1个小时…本来就很累。半夜还要等一个小时。然后大堂经理告诉你 现在没水了。因为太晚 加热的水没有了。要等。换房间也木用…我真心醉了……五星级酒店半夜告诉你没有热水。来前台交涉半天之后告诉你 可以先借你spa泡澡用。…半夜12:30……真心的 去完spa我还睡觉么……临退房之前给客房服务打电话 说要几个袋子装东西。大概1个小时也没给送过来…
5,一直都喜欢这家，性价比高。位置好，地铁口一出就是，但周边环境一般，附近没什么好的食肆。酒店内部很不错，卫生，服务，都蛮舒心的。酒店的餐厅也蛮喜欢，外面没的吃，就在酒店内吃，也吃得很满意。
5,实位置很好，之所以给4分，是因为去的时候下面正好是轨道在施工，所以道路有点通行不便。 2、设施齐全，房间开阔，服务也周到，卫生很棒。总体上来说是一个住的很舒服很满意的酒店。 3、早餐很不错，我老婆特别喜欢这里的早餐。 4、就是加床体挺贵的
4.3,酒店在浦东大道旁，位置应该不错的，只是浦东大道要修一年，交通有影响。饭店的设施很全，特别是早餐很丰富，客房的服务也很好，瓶装饮水不够打了电话就免费送来了。
5,房间非常不错，可以看到黄浦江的江景，地理位置也是非常的方便，门口就是地铁4号线，去陆家嘴，南京路，浦东等商圈都是非常快速便利的，虽然门口在修地铁14号线，但是先对而言交通算是很便利的了，早餐非常不错，服务员很热心。
4,一般般吧，提前很久预订767块，入住当天查的是不到600块。醉了。想退了767的再订便宜的，被告知不可以。有点强买强卖的感觉。明明可以有便宜的房价，就是不给你，有点心塞。特、别、不、好、打、车！去陆家嘴上班只能走着。7月末的上海，真是热啊！
4,周边在修路，不太好走，在五星酒店中属于设施比较老的，前台服务员个个冷面，说的话是客气的，但总感觉不是真心的。早餐加餐不太及时，服务倒是很好。
4,免费升级到行政楼层，设施好，非常安静。房间内还有苹果音箱，可以给Iphone充电。 38楼景观没得说，早餐还好，就是要赶早，不然水果没啦。遗憾的是退房花了我40分钟排队，这也是第一次遭遇到排这么久等待退房的情况。不知道是服务员的操作太慢还是系统有问题，总之希望改进。
4,酒店早餐丰富，其他服务态度蛮好的，就是办理入住后有点小插曲，门卡一直刷不进，打电话服务部一直让我刷，说我没有刷好，叫他们来弄还是叫我自己先刷，后来第四次电话后终于有工作人员上来换了张门卡，说前面的卡没有设置好！我们带着孩子在门口站了十几分钟！
5,除了酒店门口的交通因为修路不太方便外，其他都很好。
4.3,一直住，还不错的人，再来点新颖的吧
5,好，地铁口附近，价格合适，早餐丰富。下次一定记得再来。
5,总体不错
5,酒店免费升级还是相当不错
5,酒店环境好，设施比较新，交通方便
5,不错，得提前订
5,整体环境不错值得推荐
4.3,去陆家嘴出差的话这家酒店算不太远的，就是现在门口修路
5,非常棒的入住体验，酒店帮免费升级到了套房非常感谢！
5,位置很好，房间很干净，适合商务
5,很方便，房间很干净。每次出差来都住这里。
5,靠近黄浦江，就在陆家嘴旁边，办公很方便。含早餐。挺好的。
4.3,总体来说还不错吧，可以在加强
5,交通方便，室内干净，不吵，性价比挺高
5,房间不大 不够五星级标准 交通挺便利的
5,环境较认可，服务较认可。
5,酒店设施不错，周边交通方便，很适合说走就走的出游。
5,前台有进步 态度很好 酒店房间很满意
5,房间不大，但是挺好，有浴缸，早餐一般
5,不错 性价比挺高
5,还不错 同事出差都一直去
5,门口浦东大道修路影响了酒店进出。整体来说还不错，服务符合的上挂牌五星的待遇
5,很好啊很棒的不错特别好的
5,酒店环境还不错，门口就是地铁，房间很大，大床房的大床巨大，太惊人了！
5,位置方便，各项条件不错。
5,交通便利，环境卫生，服务态度好，性价比高。
5,都不错
4.3,酒店位置很有优势，就是4号线浦东大道1号出囗，五星酒店没达到准五星的标准！
5,环境很好，江景房，设施也不错
4.3,服务一般般
5,很好，都很满意，早餐很丰富！
5,信价比很高的酒店。
5,交通便利，房间舒适，可以看见黄埔江景，赞！
5,位置不错，看了别人的点评才选的，可惜的就是旁边在修路，交通不太方便
5,酒店环境优美，服务设施齐全，交通方便
5,交通比较便利 出行挺方便的
5,经常住这里，最近旁边修路，白天不太安静了
5,老住户，习惯了，还不错
4.3,还不错
5,非常好的交通及酒店环境！
5,房间很大，很好，服务不错，但酒店门口浦东大道一直在修路，有点乱。美中不足的是酒店早餐不是很丰富，不知道是不是因为我去晚了的缘故！下次去可以还住那儿。
5,还不错吧 地理位置挺方便的
5,方便干净整洁舒适清爽
5,睡眠质量好，周边夜色不错，价格合理
5,非常好呀，很满意。服务很周到，地理位置也很好噢，下次还会选择这家！
4.3,靠近地铁4号线方便出行。
4.3,修路。。我的天。。其实打车什么也还好。就是楼下看着不太爽
5,客人说不错
5,非常好的一次体验。距离地铁站隔一条马路。看俯瞰黄浦江。性价比高。
5,煲仔饭好吃
5,交通极其方便，设施高大上，很不错的选择
5,房间非常干净，很舒适，下次还会考虑入住。
4.3,不错不错不错你猜
5,很好，就是周边在修路不是很方便
5,可以的。房间还不错。高楼俯瞰也不错。停车麻烦
5,都很好就是前台办理入住要排队十几分钟
5,好 很不錯 乾淨 整齊 早餐好吃 價格實在
5,不错
5,可以，还不错，值得入住，下次还会去
4.3,非常满意的江景房！
4.3,酒店硬件软件都ok，住得舒服也很干净，就是浦东大道在修路，出行开车不方便
4.3,每次入住都选择这个。主要是离办事情的地方近，方便出行。位置也蛮好，周围设施齐全，比较便利。入住感觉很不错。
4.3,同事出差上海，指定这家酒店。主要是离办事情的地方近，方便出行。位置也蛮好，周围设施齐全，比较便利。入住感觉很不错。
5,不错的选择
5,老客户了，到上海的第一选择就是这儿了，就像到家一样，很亲切很熟悉的感觉，非常舒服！也总是向朋友推荐，住过的朋友都很喜欢。
5,每次都住，这次有特价，估计是浦东大道的工程对业务有影响。非常满意。酒店细节做的很好，消耗品，如洗发水之类的质量都很高。
5,离地铁口近，二线黄浦江江景，性价比高
5,4号线浦东大道站，交通非常方便
5,不错
5,酒店的地理位置很好，出行很便捷，房间布局合理，还准备了熨斗和烫衣板，很温馨很实用的。
4.3,环境不错，就是房间空调制热不太好
5,地铁旁边 出行方便 不过周围没什么吃的
4.3,性价比很高，周围出行很方便。不错
5,环境很好，服务很好！
5,酒店很方便 四号线浦东大道一出口出门就是 早餐也很好
5,同事评价很高 作为以后出差的指定酒店了 设施新 地点好 环境好 服务号
5,服务很好。环境非常好交通方便强烈推荐
5,商务出差，交通很方便，下次会继续入住。
5,很满意
5,房间不错 浴室蛮大的 早餐还好
5,公司开会预订，还不错，但就是最近酒店的大门常关，需要绕道而行，有些麻烦。
5,酒店临近地铁站，出行方便，从房间可以看到黄浦江，视野开阔，服务人员也很认真负责。
5,不错，直接升级裕景房
5,第二次入住了！很不错的酒店！加油！
5,位置很好，，，，，，，，
5,每次都住这里，很方便，床很舒服
5,豪华大气上档次
5,交通便捷，房間也較乾淨舒適，唯一不足毛巾比較硬。
5,房间有点小，但是配套设施很齐全。下次去上海还会住。
5,离开会的地方很近，方便舒适。
5,很满意
5,不错
4.3,酒店位置不错，设施有点旧了，但是这个价格在上海性价比还可以
5,环境很好，位置也不错，就是修路有点影响
5,睡得还不错
5,服务设施环境都很好，离地铁站也近
5,环境很好，交通便利，同事都很满意，回来反馈都说下次想继续入住！
5,还不错
5,前台和客房服务员的服务都很周到，房间也很大，床特别舒服，淋雨水也很大，很愉快的一次入住
5,交通很方便，就在地铁口
5,位置不错，近地铁，出行很方便，酒店总体感觉也很好，价格要是能再优惠些就更好，网上较低价格的房间不好定到 。
5,出行方便酒店环境好 附近设施齐全
5,交通非常方便 陆家嘴附近 服务不错
5,真心不错
5,很好，早餐是自助餐，很完美，虽然离正大广场远了点，但是也还好
4.3,酒店门口在修地铁还不是什么，不太方便，前台办理很慢，有时候说了脸色还不太好。
4.3,酒店服务很好很周到，房间设备都不错
4.3,很优惠的价格入住，房间以及整体设施都很好，地铁站就在楼下，很方便。只是周围在修路很乱感觉，不过这点不会在意
5,一如既往的好，很方便，服务也很好
5,不错！
5,非常满意
5,不错
5,还不错
5,出门马路对面就是地铁，出行方便，酒店软硬件过的去，早餐相对差了一点，其它都满意！下次来上海还会考虑入住！
5,地段优越、房间大、设备新，有很多对于商务客的贴心小细节，在浦东的性价比很高，早餐选择比较多，退房需要排队，整体评价非常赞
5,交通方便，早餐口味不错。孩子最喜欢酒店的游泳池。
4,位置好，服务好，值得推荐，餐厅吃到贵。
4,总的都不错，位置、硬件都好，不过前台只有一个人，排队挺长、房间很不错，但是没有牙刷，叫了服务员很快送来了。
4,早餐很一般，淋浴房的地板以及卫生间的卷帘太低级，让人感觉不舒服，电视不是很清楚，但交通很便利，高层的风景也不错
4,裕景房可以看到江，浴室的大浴池很棒。快餐厅超级难吃，又贵。服务从前台到餐厅没笑容。泳池很好，早餐很棒。
4,酒店位置很好，前台客服服务态度很好，房间干净整洁。交通比较方便，客户反映还不错，下次还会选择此酒店。
4,属于比较老的五星级酒店，因为靠近公司所以选择了，卫生环境硬件条件等还是不错的
4.5,這個地方距離地鐵浦東大道很近，附近可以吃東西的點也很多，確實很適合出差或是旅行，只是目前附近地面有大量施工，可能有時會覺得不甚美觀
4.5,酒店也算住的不少了，这里的前台服务全程没有笑容，房间打电话到服务中心没人接电话，门口想叫出租车，酒店门口人员直接回你：现在这社会都自己滴滴打车…我也是醉了，第一次碰到这种事情，以后不会来了，星级和服务真不在一个级别上…
4,酒店位置佳，交通便利，近地铁4号线浦东大道站。房间干净，床很舒适，房型还免费得到了升级。服务也不错，送景点门票。
4,酒店位置还算可以，送下午茶非常不错哦，愉快的下午。
3.5,酒店就在地铁四号线的1号出口，位置很便利，出行方便。但酒店地处较偏僻的位置，配套不完善，服务员建议吃饭要坐地铁去到陆家嘴，但其实去陆家嘴坐地铁要换乘，坐公交车只是1站路，但要走挺远的一段路才有，还是很不方便。周边在施工中，环境不太好。其他的都还可以。
3.5,出门对面就是4号线，交通非常方便。这是一个优点。第二个优点是房间挺大。接下来就是但是了。一身为五星，到酒店没有人拿行李，服务员站门口聊天，当没看到你拖个行李。二办理入住非常慢，在前面没人的情况下就得办理将近二十分钟。三早餐基本没什么东西吃。
5,对酒店的环境和服务是没有任何意见，唯独不满意的是，我在携程网上定的是3间两夜的房间，在要去上海的时候，公公身体不舒服发烧了，老人家吃不消来上海，于是马上联系携程问房间是否可以退一间，但是怎么说都没有用，两天的房费一分都不给退，只能说我付了钱了，就是他们说了算，一点也不可以通融和体谅我们的原因，下次碰到全额付款的预定，坚决换别家的去定。
4.5,陆家嘴为数不多的酒店，靠近公司，方便。前台服务态度很好，给升级了豪华间，看江景，浴室超级大，很棒！下次还住
4.5,服务还不错，酒店看起来有些年了，不过还是非常舒适的！
4.5,这次是商务旅行，位置没得说，很方便，出入便捷。早餐就一般般需要改善。而且不含双早有点令人抓狂，总体来说还是令人满意的。
4.5,周边在修路，不太好走，在五星酒店中属于设施比较老的，前台服务员个个冷面
4.5,还不错，值得推荐，价位再便宜点，返点再多点就好了！卫生间很好，热水也很充足，希望下次有机会再订这里住！
4.5,还好吧 位置很方便 室内只能说还算干净～ 也不是特别贵 所以推荐
4.5,床相当舒服，房间设施也很不错，很愉快的入住体验。
4.5,酒店交通非常便利，房间很好，服务也不错，就是洗澡间下水太慢了
4.5,特价的高级房 安排了个看不到江面的房间 健身房设施太少 其他都挺不错 卫生服务都很好
4.5,清洁阿姨能笑脸相迎，有免费的早餐和下午茶不错，延迟退房到2点，门口就是地铁，总体来说不错。携程的价格也不错，挺好！
2.8,地铁出来对面，附近修路十分不便，入住排队超过半小时，退房十五分钟。设施齐全但是被子有污渍，未见合理服务，前台未见微笑，早餐服务生更是让人无语。房价作为硬件五星很优惠，但因为这样的服务不值得。
4.5,什么都挺好。就是电视不能看上海“第一财经”台是个遗憾，经常要去楼下的泰和足道里看
4.5,性价比比较高，不过出行路线很一般
4.5,不错
4.5,早餐是最大败笔了，感觉三星级宾馆的水准
4.5,酒店性价比不错，出门就是地铁站，周边正在修地铁。
4.5,好评
4.5,这些天都满房，订到就算不错了，价格还算公道。
4.5,除了结账太慢，其他还不错。
4.5,位置不错，门口就是4号线，到陆家嘴中心打车起步价
4.5,还可以，就是房间不是很大，周边在装修
4.5,就在地铁边上，出行很方便。好像是新的地铁线路施工，酒店边上都是工地
4.5,不错！服务态度很好！
4.5,不错的酒店，房间很好，就是不知道淋浴怎么用，后来摸索了一阵子才搞出水
4.5,整体感觉不错，服务也很热情，五星级性价比比较高。
4.5,位置，房间都很好。价格也不错。后面就是滨江大道，很不错。
4.5,不错
4.5,还不错。
4.5,可以 整体不错
4.5,酒店还不错 夜景也很好 服务态度也很好 唯一不好就是门口正在维修
4.5,其他都挺好，就是早上退房特别慢
4.5,环境不错 档次也有 对的起5星 就是周边在修路
4.5,离地铁站近，但是边上修路晚上打车不方便。
4.5,多次入住了，这次住的裕景房，朝向不好，不喜欢。以后不住这个房型了。
4.5,酒店性价比极高，早餐较为丰富，
4.5,周围在造地铁，浦东大道封闭了，其他都还可以。返现五十挺快。
4.5,还不错，可看到黄浦江
4.5,前台办理入住排队20分钟，应有应对措施！其他均佳。
4.5,整体不错的，就是设备尤其是充电插口都比较老
4.5,房间有点拥挤，游泳池维修不可用，有些失望
4.5,酒店还不错，早餐一般
4.5,房间不错，床很大，前台入住和退房慢
4.5,非常不错！
4.5,带一家人来上海玩，其他都还好就是床跟枕头太烂了，没有一点5星级的水准，整晚都没睡好
4.5,还不错
4.5,非常不错
4.5,总体满意
4.8,住了第二天换了2911景色不如3531但是大床房，台风依旧，虽然不如3531房间宽敞，但是也还好吧，住这个5星还是体验不错的，而且早餐超级好！下次来还会选择这里
4.5,其实酒店的基本设施、服务都挺好的，而且早餐也很丰富，地理位置其实很方便，就在地铁口，唯一不好的就是插座偏少点，对于我们这种又是手机又是pad又是充电宝的人来说，稍微有点不方便，而且浴室的吹风机插座很松，需要一个手按着插头，一个手吹，着实不太好
4.5,浴也有浴缸，玩累了回去还可以边看电视边泡澡，非常不错。因为浦东大道修路，环境打点折扣，前台个别人员服务水平有待提高。到东方明珠出租起步价，到南京路也不远。选楼层高点的且尾数是15至18的房间看景更好。
5,很好，早餐也不错。整体都还好。。。。
5,每次出差同事都指定住这里，离陆家嘴商务区步行15分钟左右。不是很好打车。酒店毕竟是五星级，软硬设施都还可以。
4,酒店设施不错，酒店周围在修路。前台工作人员办理退房速度太慢，需要等待很久。
4,大堂办理入住很慢
4,酒店很不错，服务很好，卫生很好。
4,值得推荐！
4,还不错，交通方便的，能不能不要总是15个字
4,房间挺不错，床也很舒服，洗漱间很赞！
4,整体而言不错
4,酒店设计有问题，晚上窗户一直有啸叫声。问前台说是风的声音。
4,不错
4,不错
4,周边在施工环境一般，靠近地铁站，步行2分钟，入住等候了蛮久的说是房间未完成打扫，退房排了很久的队
4,环境不错，出差选择，已经入住第二次了
4,没以前好了，房间地毯有点脏
4,游泳池超赞
4,打前台电话n个都没有人接。就算退房时间酒店前台不接电话的我还是第一次碰到
4,还不错哦，住住还是可以的 还不错哦，住住还是可以的 还不错哦，住住还是可以的 还不错哦，住住还是可以的 还不错哦，住住还是可以的
4,门前装修其他还好
4,相当不错的酒店，方便舒适
4,还算不错的酒店，主要是交通很便利，去哪里都很方便
4,不错
4,窗稍微有点小，其他还不错，五星酒店，中规中矩
4,服务一流，周边环境不是很好，因为浦东大道在施工。
4,不错的酒店，交通方便。经常定的酒店。 就是门口修路，不知什么时候完
4,酒店总体感觉挺好，去的时候等了好长时间打扫卫生，之前住过一次，早餐挺好的，这次去早餐难吃的不行，失望
4,还不错
4,酒店安排了高楼层，视野不错，房间设施略显老旧，卫生状况一般。可能由于门口修路，客源有所下降，造成员工服务意识不足，有待加强。
4,帮同事订的，以前听说不错，这次听同事反映，大堂服务生看到我同事推着个大箱子进来非但没有上前帮助，反而转身当没看见。有点令人意外。
4,满意，体验不错
4,没有预定的房型，免费帮升级了行政，还不错
4,修路原因导致交通不方便，前台效率非常差。。。。
3.3,酒店服务态度还够得上五星酒店，但设施陈旧，很多设备已经无法正常使用，与星级及其不符！早餐是我吃过国内外最美的五星级酒店了，甚至与大部分四星酒店都无法相比！一楼另外一家小火锅餐厅，喝的鲜榨西瓜汁居然是酸的。虽然服务态度不错，很快给换掉了，但这本来就不是五星酒店应该发生的事情！希望管理集团会引起足够重视。貌似我入住的期间有集团公司来检查，不知道回去的报告是如何做的！希望不是只是流于表面形式！All the best!
4.8,房间确实不错，游泳池也很好，健身房很大，设施齐全。就是周边在修地铁，有些杂乱嘈杂。
4.8,服务，环境，地理位置都很好，不错，就是附近在修路。
4.8,环境不错，可以看到3座最高建筑物，就是门前在修地铁，有些不太方便。在附近的小南国饭店吃饭也比较方便。
4.8,酒店整体不错，自助餐味道一般，服务还行。
4.8,性价比还不错！地铁旁边，很方便！
4.8,一次超值的入住，还升级的VIP楼层，房间虽然不是很大，但是床很舒服。 早餐品种比较多，服务很到位。
4.8,入住29楼，房间很大，服务也到位。地铁就在小马路对面，出行方便。早餐人多加餐点不够及时，口味还可以。
4.8,浦东南路在修路，外面看起来乱糟糟的，不过酒店里面还不错，房间很大很干净，设施也很齐全。
4.8,还不错 离地铁非常近 在东方艺术中心看演出 打车很快
4.8,酒店位置很好，地铁出来就是，下雨天办事很方便。服务不错，入住退房办理都很快。早餐也很好，夜景看见陆家嘴非常美。性价比比较高
4.8,去上海出差一直选这家宾馆，只要在浦东就这家。性价比高，房间干净整洁。自助餐也不错，服务也OK！很值得，唯一缺点位子比较偏僻。
4.8,酒店配套设施很齐全，也很干净。很满意。
4.8,离地铁口很近，出行方便，早餐比较好。
4.8,非常不错
4.8,位置有些偏，周围修路。其他还是可以的。
4.8,贵是贵了点，总体表现中规中矩
4.8,不错的酒店。
4.8,不错
4.8,性价比很高，但早餐比以前有退步，不过这可能和房价便宜有关系。
4.8,性价比不错的一家酒店，服务可以
4.8,酒店位置很好，交通便利， 酒店对面就是地铁4号线浦东大道站。
4.8,很好的酒店，生意好！如果浦东住非常好的，门口就是地铁！可惜去的时候门口修路，相信修好后感觉会更好，但是不知道到时候会不会涨价呢
4.8,很满意，出去交通也方便，下次还会住
4.8,主动服务应该加强
4.8,房间很时尚，浴缸很舒服，布局很好，交通方便
4.8,酒店环境不错 周边就不好了
4.8,酒店里设施比较好，但是房间比较小。放下行李箱后都没有足够空间邀请朋友进来坐
4.8,经常住这家酒店，一路既往的好，不错。
4.8,免费升级了裕景房。虽然前面有幢房子挡着点，但三面都能看到黄浦江的美景，赞一个。不过早餐简单了点，一般般
4.8,房间卫生很好，酒店服务中规中矩，门口停车不太方便在修路
4.8,早饭服务都很不错，就是屋子有些潮，还有蟑螂……
4.8,前台接待有点慢，但帮我们房型免费升级。早餐比较丰富，种类很多。保安很差，指挥个地下车库入口，我找了两圈。
4.8,感觉还不错就是感觉有点陈旧
4.8,酒店环境，服务都很好，特别是早餐到十一点，很赞哦
4.8,酒店环境较好，但饭店服务专业性有待提高，前台退房排了半小时的队，周围在建设影响总体出行感受！
4.8,自助早餐还可以用点心去做一下
4.8,交通方便，酒店不错，就是周边没什么商业，吃饭有点麻烦
4.8,酒店的环境真的很棒，我们住37楼，晚上可以看到真个上海的夜景，棒棒哒！房间淋浴房和厕所分开，还有浴缸（虽然我们不用），酒店3楼有早餐，种类好多，服务棒棒哒
4.8,酒店环境真心不错，服务也很好，下次还会光顾。
4.8,干净，离东方明珠很近，交通方便
4.8,酒店干净卫生但空间较小，周边环境不错订了两间房一间正对黄浦江很惬意，交通也方便，下次到上海还住这里
4.8,酒店服务环境不错，view也很赞，老婆很满意～
4.8,可以的，服务周到，就是周围建地铁，稍微有点影响
4.8,服务中规中矩！
4.8,出行比较方便
4.8,首先，酒店的大堂给人一种很亲切、很简洁的感受，有点像Holdyinn，其次，酒店的服务也不多，订的高级房硬件设施这个价格在同类五星级酒店没得说，一流。唯一不足的可能就是地段的问题，这也是为什么房间稍微低点的原因吧。性价比而言，还是很高的。
4.8,商务型酒店五一假期的价格貌似比平日还便宜，干净整洁，床超大，服务态度也不错，就是为什么是单早呢！要不就双早，要不就无早比较合理吧
5,我是名人我喜欢酒店
5,虽然酒店有点年头了，房间也比较小，但干净整洁，出行交通非常方便，离地铁站才1分钟的路程，美中不足的是早餐，品种很少，感觉没什么好吃的，希望酒店有所提高。
4.3,缺點:1.入住時櫃台人員二人，有第三組客人等很久！2. 入住後設施捲亷拉不了 優點：1。位置好 高層看黃浦江 2。設備清潔度很好
4.3,从未见过退房排队可以排成这样，打电话去前台想延迟一下退房，电话永远没人接，十二点准时下楼退房排队一直排到十二点三刻刚办完退房手续。这种五星级酒店的服务实在是让人有点担心！
5,在上海周末订房还是比较优惠些的，工作日时就非常贵了。除了浦东大道目前在修路有一些影响交通和景观外，裕景大饭店整体来说是非常好的，性价比也不错。
5,地点非常好的一家五星酒店，就是一楼的停车下客的地方太拥挤了，体现了上海的寸土寸金呀！运气不错，入住时行政房没了，免费升级到了行政景观房，酒店的最高层，上海的夜景太美了，谁住谁知道！！！
4.5,因为浦东大道修路 多少有点影响 但是酒店环境很好 很干净 早上视野也很不错
4.5,性价比高，在上海这个价钱住这个星级不错了。房间设备齐全。
4.5,位置还好，出地铁就到，房间布局合理，喜欢中厅，适合商务出差。
4.5,这是第二次入住住，第一次住，在前台登记入住的要1480元，第二次入住在携程订的才740元，还是个总统套房爷，4月16号我生日我还会再来的。????????????
4.5,非常不错的体验，性价比很高！比前一天住的皇冠好一些，， 送餐服务的沙拉差了点儿，，
4.5,酒店很舒服，对得起这个价钱，就是前台人员不太热情，一直用上海话跟旁边的同事交谈，服务水准有待提高。
4.5,酒店总体很好，就有一点感觉很差，拖鞋是用过的，酒店方换了拖鞋，解释说拖鞋是清洗后重复利用，这个解释很牵强啊…
3.8,出差预定，首先设施肯定是五星的标准，但是房间的柜子有点旧了，掉皮，不过总体还是满意的，早餐也还行，游泳池最赞，按摩泳池很喜欢，人比较少，需要带泳帽进泳池。说说服务吧！这是我住过的5星级酒店里服务最差的！前台全程无笑脸，都不带正眼看你的！因为参加展会，有些大件物品快递到酒店，麻烦礼宾处帮忙推到地下车库，礼宾部的工作人员完全无服务意识，推到车库就在一旁看着，我一姑娘自己往后备箱一箱箱的搬，根本不搭把手，每次出差都选择5星酒店，这是服务最差的酒店，没有之一。其实5星酒店最后拼的也就是服务，设施都是一样的标准，谁的服务好，谁的服务意识强才是王道。
5,酒店硬件设施好，客房服务和送餐也不错
5,非常满意的一次入住体验。和男朋友一起去的。早餐也不错
4.3,不错的！下次还可去！当时旁边在修地铁！现在不知道了！
5,帮朋友预定的，回复情况非常不错，酒店位置佳，服务好，地铁，公交都很近，非常方便出行。以后还会继续入住。
5,酒店非常不错，周边设施都挺齐全，出门也很方便，服务还是比较到位的，很喜欢，总体还不错，下次应该还会光顾。
5,很不错的酒店，地理位置方便，出门就是4号线，离开陆家嘴也很近，打车就是一个起步费。酒店环境和设施相当不错，非常安静，很干净。服务也周到，下次还会再来
5,蛮干净的，服务也不错，建议放个空气净化器
4.3,位置还算方便 出门地铁 就是入住退房好慢啊
4.3,酒店就在地铁站附近，交通非常便利。订房时赠送了双人下午茶，房间不大不小，窗户比较小！酒店早餐还不错。
5,住的是行政楼层，安静舒适，早餐也较丰盛，环境安逸。酒店设施是全新的装修，走到陆家嘴才十几分钟。楼下就是地铁站。非常方便。赞
5,酒店位置很不错、设施服务也不错！
5,还可以不错、唯一不足是早餐要170一份有点贵、而且菜品不多
5,房间卫生比较干净，地理位置挺好，地铁4号线就在门口……已住过两次，不错
5,地铁4号线出来就是，很方便。离开陆家嘴也不远。 环境是没的说的，很安静，值得推荐的一个酒店。
5,老牌五星饭店，值得推荐，交通便利，设施、服务、房间视野都很棒，如果早餐能多点中餐选择就更完美了。
4.3,酒店的地理位置还是很不错的，早餐也很丰盛，价格也还可以接受，房间设施和卫生也可以，总体来说没什么可挑剔的
5,替朋友订的，本人也上房间看了一下，总体感觉不错，位置、硬件设施、服务各方面都不错。
4.3,各方面都不错，卫生细节需要加强，周边由于修路交通不方便。
5,很不错，干净，交通方便，地铁口，级别也实惠。早餐种类不多。
5,位置比较方便，就是浦东大道在修路不太好找，汽车地铁都很方便。尤其值得称赞的是酒店的早餐很丰盛，非常值得推荐，客人非常喜欢这个酒店
5,大堂吧，洗衣，housekeeping都好，早餐人太多还是餐厅太小，没搞懂？check-in有火车站票窗的赶脚。。。。。。
5,酒店不错，性价比很高，设施和地段都挺好，早餐也很丰富。
4.3,第二次入住了，第一次入住感觉还行。这一次两次感觉不好，一是早餐部的服务态度冷淡，二是电话续住时前台没及时接电话并且说话口气太＂职业＂
4.3,服务稍欠，关键门口地方太小，停车下车叫车不方便，而且门童随时不在.....
5,酒店很好，很舒服，很干净，地铁就在对面，超方便，下次去上海还是会考虑入住它
5,非常好，经常住这里，交通方便，早餐房间服务价格不错，环境非常不错，观景黄浦江，免费停车，卫生间设计合理舒适。
5,跟其他5星级的比，房间不算大，早餐品种不算多，但基于这个位置和价格算可以的，楼下停车方便的，
5,环境非常不错 地段也很好、除了早餐只有一份外其他都非常满意，原本只打算住一天，果断又连定了两天，下次来上海还住这！
5,非常好的酒店，地理位置很好，距离地铁站很近，房间设施和卫生都很好，早餐也挺好。
4.3,房间宽敞，离机场相对较近，只住了一宿，感觉还不错。 只是周边吃饭的地方不多，倒是酒店的一楼餐厅还可以，客人基本满意。
5,这是出差给同事订的。位置不错，服务也不错。下次过来出差可以选择住在这里。装修得体，美观大方，耳目一新。
5,很超值的一次入住体验，酒店位置佳，房间明亮通透，服务、餐饮也很棒
5,好，早餐也丰富！价格在这个地段实惠的！
4.3,帮外国客户预定的酒店，非常不错，价格适中，靠地铁出行方便，周围有超市，24小时便利店都很方便！客户点名住这里！
5,"门口就是地铁,去哪里都方便。陆家嘴尽收眼底。早餐，就不要在38楼用了，都是西点，只有几个老外在吃。去3楼，中餐才有。酒店内很安静。总之不错。"
5,干净整洁，舒适而不奢华，早餐非常丰富，5楼的中餐也相当精致。不错的差旅落脚地。
4.3,酒店地理位置确实不错，去滨江大道、海洋馆打的起步价就行。早餐有点贵，幸亏是送的，如果是额外购买的，就没有必要了。
4.3,酒店窗外景色不错 楼下施工噪音很吵 早餐有些贵
5,第二次定了，非常好，设施交通服务各方面都很满意
5,地理位置还行吧，入住环境，卫生都不错！
4.3,周边修路，离地铁站很近，早餐还可以，陆家嘴地区比较实惠的酒店了
5,服务不错，卫生也很不错，下次出差还住这家。
5,很不错，已经多次入住了
5,酒店位置很好，周边交通方便，父母自由行住的很舒服
5,挺不错的，可惜我那天没起来吃早餐
5,值得推荐、不愧是五星酒店、房间很大！
5,我欢喜的酒店，交通很方便，性价比非常高！
5,环境服务地点都没得挑，周边性价比一流
5,环境，服务，景观都很好
5,闺蜜媛来上海，住在陆家嘴那边比较方便，不过周边在休整，在陆家嘴那边还是蛮方便的。
5,交通很方便
5,环境 设施都没话说 超爱他们家的浴缸 好大好大
5,酒店位置还行出门就是地铁口。房间很大。很干净。性价比还算不错。
5,不愧是豪华酒店 不错
5,不错
4.3,可以推荐
5,最满意的一次的入住！
5,不错的
5,很不错，位置很好！交通也方便！
5,不错，继续支持
4.3,边上在修路不太方便，开车去的有停车场还是不错的。 地段很好出门比较方便，地铁口就在楼下，所以感觉还是不错。
5,总的来说不错
5,不错，各方面都还好。
5,服务很好，wifi也很给力
5,满意
5,位置非常棒，走步就到第二天开会的地方。
5,还可以，我一直住这里。服务很好！
5,性价比很高，外景也不错。
5,很好，环境优雅，景观一流
5,很好的饭店，客户很满意，以后还会选择！价格稍高
